Date,Open,High,Low,Close,Adj Close,Volume
2017-08-09,169.979996,171.449997,169.559998,171.179993,171.179993,10815000
2017-08-10,170.059998,170.589996,166.850006,167.399994,167.399994,20832700
2017-08-11,167.949997,168.820007,166.850006,168.080002,168.080002,13791200
2017-08-14,170.089996,171.080002,169.289993,170.75,170.75,12954200
2017-08-15,171.490005,171.5,170.009995,171.0,171.0,8729200
2017-08-16,171.25,171.380005,169.240005,170.0,170.0,15779900
2017-08-17,169.339996,169.860001,166.850006,166.910004,166.910004,17216000
2017-08-18,166.839996,168.669998,166.210007,167.410004,167.410004,15093600
2017-08-21,167.160004,168.0,165.820007,167.779999,167.779999,11907500
2017-08-22,168.279999,169.869995,167.149994,169.639999,169.639999,11391000
2017-08-23,168.839996,169.360001,168.199997,168.710007,168.710007,9856500
2017-08-24,168.880005,169.289993,166.410004,167.740005,167.740005,14030400
2017-08-25,167.860001,168.380005,166.179993,166.320007,166.320007,12614500
2017-08-28,166.910004,167.699997,166.330002,167.240005,167.240005,8553700
2017-08-29,165.25,168.429993,165.0,168.050003,168.050003,11121000
2017-08-30,168.169998,170.179993,167.630005,169.919998,169.919998,11138300
2017-08-31,170.399994,172.149994,170.059998,171.970001,171.970001,17226500
2017-09-01,172.399994,172.919998,171.309998,172.020004,172.020004,11677600
2017-09-05,171.270004,172.389999,169.550003,170.720001,170.720001,13210900
2017-09-06,170.910004,172.479996,169.570007,172.089996,172.089996,13906300
2017-09-07,171.940002,173.309998,170.270004,173.210007,173.210007,18049500
2017-09-08,173.089996,173.490005,170.800003,170.949997,170.949997,10969300
