Date,Open,High,Low,Close,Adj Close,Volume
2017-08-09,168.429993,172.210007,167.669998,172.110001,171.958603,13269600
2017-08-10,172.160004,172.660004,164.330002,164.740005,164.595093,33202200
2017-08-11,157.139999,159.0,152.910004,155.960007,155.822815,37429900
2017-08-14,159.669998,168.550003,159.199997,168.399994,168.251862,31818000
2017-08-15,168.610001,169.669998,165.589996,166.979996,166.833115,19113300
2017-08-16,167.589996,168.539993,163.839996,165.149994,165.004715,14915800
2017-08-17,164.809998,165.5,161.380005,161.470001,161.327972,13136100
2017-08-18,163.669998,164.360001,159.639999,161.5,161.357941,15030100
2017-08-21,162.490005,162.949997,157.369995,159.149994,159.009995,15591800
2017-08-22,160.490005,162.789993,159.710007,162.550003,162.550003,11261400
2017-08-23,161.199997,166.25,160.850006,165.800003,165.800003,14488000
2017-08-24,167.100006,167.279999,164.119995,165.190002,165.190002,11742500
2017-08-25,166.169998,166.580002,163.550003,163.809998,163.809998,8930000
2017-08-28,164.580002,165.100006,162.330002,164.970001,164.970001,9737400
2017-08-29,162.589996,165.580002,162.259995,164.699997,164.699997,8102400
2017-08-30,165.5,166.130005,164.270004,165.679993,165.679993,9610000
2017-08-31,166.5,169.600006,166.199997,169.440002,169.440002,15317100
2017-09-01,169.949997,171.899994,169.600006,170.460007,170.460007,11135800
2017-09-05,168.380005,168.580002,163.559998,165.910004,165.910004,17384100
2017-09-06,167.240005,167.800003,164.399994,165.809998,165.809998,9941800
2017-09-07,166.490005,167.889999,164.949997,166.580002,166.580002,8821700
2017-09-08,166.110001,166.710007,162.710007,163.690002,163.690002,12406200
