Date,Open,High,Low,Close,Adj Close,Volume
2017-08-09,72.25,72.510002,72.050003,72.470001,72.085938,22213400
2017-08-10,71.900002,72.190002,71.349998,71.410004,71.031555,24734500
2017-08-11,71.610001,72.699997,71.279999,72.5,72.115776,21443700
2017-08-14,73.059998,73.720001,72.949997,73.589996,73.199997,20067300
2017-08-15,73.589996,73.589996,73.040001,73.220001,73.220001,19181400
2017-08-16,73.339996,74.099998,73.169998,73.650002,73.650002,18150400
2017-08-17,73.580002,73.870003,72.400002,72.400002,72.400002,22977500
2017-08-18,72.269997,72.839996,71.93,72.489998,72.489998,18761500
2017-08-21,72.470001,72.480003,71.699997,72.150002,72.150002,17734800
2017-08-22,72.349998,73.239998,72.349998,73.160004,73.160004,14343700
2017-08-23,72.959999,73.150002,72.529999,72.720001,72.720001,13766500
2017-08-24,72.739998,72.860001,72.07,72.690002,72.690002,17098300
2017-08-25,72.860001,73.349998,72.480003,72.82,72.82,12794300
2017-08-28,73.059998,73.089996,72.550003,72.830002,72.830002,14569700
2017-08-29,72.25,73.160004,72.050003,73.050003,73.050003,11478400
2017-08-30,73.010002,74.209999,72.830002,74.010002,74.010002,16897800
2017-08-31,74.029999,74.959999,73.800003,74.769997,74.769997,27652800
2017-09-01,74.709999,74.739998,73.639999,73.940002,73.940002,21736200
2017-09-05,73.339996,73.889999,72.980003,73.610001,73.610001,21556000
2017-09-06,73.739998,74.040001,73.349998,73.400002,73.400002,16535800
2017-09-07,73.68,74.599998,73.599998,74.339996,74.339996,17471200
2017-09-08,74.330002,74.440002,73.839996,73.980003,73.980003,14692500
